"ID"	"Sex"	"Age_Days"	"Exp"	"Rec"	"TestPhase"	"ConSoc"	"ConOut"	"Condition"	"Dyad"	"Object"	"ObjectPos"	"ObjectPosAct"	"TrialRun"	"TrialCon"	"OutcomeDuration"	"TwoSecCheck"	"TotalLTScreenOut"	"TotalLTObjectOut"	"LTScreenOut"	"LTObjectOut"	"FirstLookDurationObjectOutTop"	"FirstLookDurationObjectOutBottom"	"FirstLookDurationObjectOut"	"FirstLookDurationObjectOutTopReason"	"FirstLookDurationObjectOutBottomReason"	"FirstLookDurationObjectOutReason"	"FirstLookDurationScreen"	"TotalLTScreenAct"	"TotalLTObjectAct"	"TotalLTActorLeftAct"	"TotalLTActorRightAct"	"TotalLTActorSumAct"	"TotalLTFaceLeftAct"	"TotalLTFaceRightAct"	"TotalLTFaceSumAct"	"LTScreenAct_5to6"	"LTScreenAct_7to8"	"LTScreenAct_9to10"	"LTScreenAct_11to12"	"LTScreenAct_13to14"	"LTScreenAct_15to16"	"InterPhaseCheckerSoc"	"InterPhaseCheckerGazing"	"InterPhaseCheckerValid"
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-10"	"OBEN"	"UNTEN"	1	1	12650	FALSE	4148	3848	4148	2166	2182	0	2182	"outside"	""	"outside"	2182	8745	0	2733	3115	5848	2733	3115	5848	517	250	0	0	866	250	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-7"	"OBEN"	"OBEN"	2	1	15147	FALSE	8933	8049	8933	2298	2398	0	2398	"outside"	""	"outside"	2398	4580	2165	2065	267	2332	1832	267	2099	200	0	0	0	816	750	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-2"	"UNTEN"	"UNTEN"	3	1	15154	TRUE	8960	8644	3098	3098	183	3098	3098	"outside"	"outside"	"outside"	3098	9095	1649	3431	3715	7146	3431	3498	6929	767	766	533	632	283	183	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-4"	"UNTEN"	"UNTEN"	4	1	9231	TRUE	1850	1633	1067	850	0	833	833	""	"outside"	"outside"	1832	8594	2664	2532	3298	5830	2532	3298	5830	834	699	0	433	583	417	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"NCOM"	"NO"	4	"D1"	"OBJ-5"	"OBEN"	"OBEN"	5	1	12056	FALSE	4364	3665	4364	3665	866	0	866	"outside"	""	"outside"	1483	13842	867	7795	5180	12975	7795	5180	12975	666	716	250	700	217	749	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D2"	"OBJ-11"	"UNTEN"	"OBEN"	6	1	15155	TRUE	7178	6295	3548	2665	333	2265	2265	"outside"	"outside"	"outside"	2665	11476	0	4363	2533	6896	4363	2533	6896	400	783	750	649	549	0	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-1"	"OBEN"	"OBEN"	7	2	15107	TRUE	6363	4747	1782	1116	1116	0	1116	"outside"	""	"outside"	1915	11427	1800	6046	3248	9294	5879	3181	9060	816	566	866	384	417	333	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-8"	"UNTEN"	"UNTEN"	8	2	7521	FALSE	2915	2632	2915	2632	284	1665	1665	"outside"	"outside"	"outside"	3114	3332	766	500	2066	2566	500	1899	2399	915	0	0	0	0	0	TRUE	FALSE	FALSE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D2"	"OBJ-12"	"OBEN"	"UNTEN"	9	2	15138	TRUE	4245	3480	866	866	866	0	866	"outside"	""	"outside"	866	3249	0	766	1667	2433	766	1667	2433	800	0	0	17	0	550	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"NCOM"	"NO"	4	"D1"	"OBJ-6"	"UNTEN"	"UNTEN"	10	2	15170	FALSE	7112	6962	7112	6962	0	1716	1716	""	"outside"	"outside"	1716	11359	2481	3048	5830	8878	3048	5464	8512	450	383	466	883	516	583	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-9"	"UNTEN"	"OBEN"	11	2	9877	FALSE	3348	2882	3348	2882	0	1365	1365	""	"outside"	"outside"	1882	8829	0	4116	1449	5565	4116	1449	5565	666	915	0	0	384	116	TRUE	TRUE	TRUE
"06"	"F"	"298"	"Exp6"	"Rec06"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-3"	"OBEN"	"OBEN"	12	2	8811	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8245	883	2915	4064	6979	2915	3881	6796	433	299	117	432	0	0	TRUE	TRUE	TRUE
