Experiment;ID;Sex;Age_Days;ConContext;Identity_change;Location_change;ConSoc;ConOut;Condition;ObjectPos;ObjectPosAct;TrialRun;TrialCon;LTScreenOut;LTObjectOut;FirstLookDurationObjectOut;FirstLookDurationScreen;TotalLTScreenAct;TotalLTObjectAct;TotalLTActorAct;TotalLTFaceAct;TotalLTObjectOut;OutcomeDuration;trial_valid;trial_LOB_Act;Actor;Object
1;4;F;279;1;1;0;COM;IDENTITY;2;0;0;1;1;7029;4997;1782;2048;13872;1698;11941;11941;5746;15155;1;1;A1;OBJ-10
1;4;F;279;0;0;1;NCOM;LOCATION;6;1;0;2;1;8610;2815;1948;2648;14189;0;12424;12424;6661;15137;1;0;A1;OBJ-2
1;4;F;279;1;0;1;COM;LOCATION;3;1;1;3;1;5296;3963;1133;4331;12392;1216;11176;11176;5417;15144;1;1;A2;OBJ-15
1;4;F;279;0;1;0;NCOM;IDENTITY;5;0;0;4;1;3697;3514;1616;1616;12655;2181;10474;10474;6245;15146;1;1;A2;OBJ-12
1;4;F;279;0;0;0;NCOM;NO;4;1;1;5;1;2847;2264;1383;2449;14056;1782;11941;11941;6847;15108;1;1;A1;OBJ-13
1;4;F;279;1;0;0;COM;NO;1;0;1;6;1;4929;3813;1199;1882;10160;0;8844;8578;5313;15156;1;0;A2;OBJ-3
1;4;F;279;1;1;0;COM;IDENTITY;2;1;1;7;2;3798;3598;2065;2065;13974;1316;12658;12392;4714;15139;1;1;A1;OBJ-9
1;4;F;279;1;0;1;COM;LOCATION;3;0;0;8;2;2531;2348;1499;1699;8160;683;7477;7060;4080;15144;1;1;A2;OBJ-16
1;4;F;279;0;0;1;NCOM;LOCATION;6;0;1;9;2;3031;2698;1099;1099;13491;0;11309;11309;3298;15149;1;0;A1;OBJ-1
1;4;F;279;0;1;0;NCOM;IDENTITY;5;1;1;10;2;3481;2115;2132;2132;11491;1016;10242;9793;5897;15141;1;1;A2;OBJ-11
1;4;F;279;1;0;0;COM;NO;1;1;0;11;2;2032;1632;783;2215;13274;0;12525;12525;2565;15132;1;0;A2;OBJ-4
1;4;F;279;0;0;0;NCOM;NO;4;0;0;12;2;8377;2815;1532;3181;13759;500;13259;13009;4541;15151;1;1;A1;OBJ-14
1;1;F;290;0;0;1;NCOM;LOCATION;6;1;1;1;1;11008;8976;2115;3864;14407;0;14407;14407;8976;15130;1;0;A1;OBJ-1
1;1;F;290;1;0;0;COM;NO;1;0;1;2;1;6477;6144;3364;3730;14424;0;14424;14241;8705;15153;1;0;A2;OBJ-7
1;1;F;290;1;1;0;COM;IDENTITY;2;0;0;3;1;7794;7294;5147;5147;14441;0;14441;14441;9570;15134;1;0;A2;OBJ-16
1;1;F;290;1;0;1;COM;LOCATION;3;1;0;4;1;9144;8111;1765;1765;13924;0;12924;12924;8111;15141;1;0;A1;OBJ-6
1;1;F;290;0;1;0;NCOM;IDENTITY;5;1;1;5;1;6711;2647;866;6812;13189;0;12856;12107;6008;15103;1;0;A1;OBJ-13
1;1;F;290;0;0;0;NCOM;NO;4;0;0;6;1;6728;2681;1399;2199;11975;1166;9860;9394;5730;15113;1;1;A2;OBJ-4
1;1;F;290;0;0;0;NCOM;NO;4;1;1;7;2;7946;7113;1383;5879;12808;0;12808;11942;7113;15150;1;0;A2;OBJ-3
1;1;F;290;1;0;1;COM;LOCATION;3;0;1;8;2;9586;2249;1565;2248;13408;0;13408;13225;3526;15134;1;0;A1;OBJ-5
1;1;F;290;0;1;0;NCOM;IDENTITY;5;0;0;9;2;4196;2431;966;2331;11792;1099;10693;10460;2997;15155;1;1;A1;OBJ-14
1;1;F;290;1;1;0;COM;IDENTITY;2;1;1;10;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;15124;0;0;A2;OBJ-15
1;1;F;290;0;0;1;NCOM;LOCATION;6;0;0;11;2;3297;1749;1783;2216;6698;0;6148;5998;2332;11039;1;0;A1;OBJ-2
1;1;F;290;1;0;0;COM;NO;1;1;0;12;2;200;67;67;133;12307;0;12307;11807;1716;15118;1;0;A2;OBJ-8
1;2;F;279;0;0;1;NCOM;LOCATION;6;0;1;1;1;4063;3614;1083;1299;10475;0;8627;7761;5962;15134;1;0;A1;OBJ-9
1;2;F;279;0;1;0;NCOM;IDENTITY;5;1;1;2;1;3415;3015;1033;1582;9960;766;9194;9194;4330;15119;1;1;A2;OBJ-3
1;2;F;279;1;0;0;COM;NO;1;0;0;3;1;2250;1667;1116;1749;9595;2249;6946;6729;1800;11899;1;1;A2;OBJ-8
1;2;F;279;0;0;0;NCOM;NO;4;1;1;4;1;1615;982;999;1199;7946;2532;5414;5414;982;8501;1;1;A1;OBJ-5
1;2;F;279;1;0;1;COM;LOCATION;3;1;0;5;1;2383;2000;1066;2532;7245;0;5229;5229;3600;15125;1;0;A2;OBJ-12
1;2;F;279;1;1;0;COM;IDENTITY;2;0;0;6;1;4414;4264;3098;3098;12325;882;11109;10509;4730;15137;1;1;A1;OBJ-2
1;2;F;279;0;0;0;NCOM;NO;4;0;0;7;2;4665;3931;716;1432;5063;2231;2832;2832;5147;15136;1;1;A1;OBJ-6
1;2;F;279;1;0;1;COM;LOCATION;3;0;1;8;2;3682;3082;1899;2548;10945;0;7997;7664;3082;13393;1;0;A2;OBJ-11
1;2;F;279;1;1;0;COM;IDENTITY;2;1;1;9;2;4348;4098;2698;2698;5064;1017;4047;4047;4098;15161;1;1;A1;OBJ-1
1;2;F;279;1;0;0;COM;NO;1;1;1;10;2;2897;2447;1765;2265;5363;466;4847;3981;3946;15158;1;1;A2;OBJ-7
1;2;F;279;0;1;0;NCOM;IDENTITY;5;0;0;11;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;8383;0;0;A2;OBJ-4
1;2;F;279;0;0;1;NCOM;LOCATION;6;1;0;12;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;8219;0;0;A1;OBJ-10
1;3;M;292;1;1;0;COM;IDENTITY;2;1;1;1;1;6645;5729;4097;5296;13043;1232;11611;11444;6111;15155;1;1;A1;OBJ-5
1;3;M;292;1;0;0;COM;NO;1;0;0;2;1;2165;1149;733;1632;9627;2515;6612;5995;5429;15136;1;1;A1;OBJ-10
1;3;M;292;0;0;1;NCOM;LOCATION;6;0;1;3;1;1366;550;549;1449;12543;0;11043;10244;1699;15133;1;0;A2;OBJ-15
1;3;M;292;0;0;0;NCOM;NO;4;1;1;4;1;2399;867;882;1915;10710;1649;9061;9061;1517;12445;1;1;A2;OBJ-11
1;3;M;292;1;0;1;COM;LOCATION;3;1;0;5;1;8278;6428;983;3797;13925;0;11643;10527;6428;15164;1;0;A1;OBJ-14
1;3;M;292;0;1;0;NCOM;IDENTITY;5;0;0;6;1;7343;5395;483;2182;7195;850;5246;5246;5395;15154;1;1;A2;OBJ-8
1;3;M;292;0;0;1;NCOM;LOCATION;6;1;0;7;2;4513;3647;800;1233;12007;0;8610;8327;5479;15127;1;0;A2;OBJ-16
1;3;M;292;1;0;0;COM;NO;1;1;1;8;2;2548;1366;1365;2664;12191;2065;9959;9959;5085;15145;1;1;A1;OBJ-9
1;3;M;292;0;1;0;NCOM;IDENTITY;5;1;1;9;2;6613;5547;5163;6795;12742;450;12292;12292;5547;15150;1;1;A2;OBJ-7
1;3;M;292;0;0;0;NCOM;NO;4;0;0;10;2;6378;6112;833;833;8010;2815;5195;5195;6112;15144;1;1;A2;OBJ-12
1;3;M;292;1;0;1;COM;LOCATION;3;0;1;11;2;1682;1582;1598;1598;10226;0;9826;9826;3243;15103;1;0;A1;OBJ-13
1;3;M;292;1;1;0;COM;IDENTITY;2;0;0;12;2;7312;6597;2714;2714;11709;567;11142;11142;6597;15152;1;1;A1;OBJ-6
1;5;M;280;1;0;1;COM;LOCATION;3;0;0;1;1;5996;3798;1682;2398;13342;867;12475;12475;4708;15149;1;1;A1;OBJ-2
